BBLCOUNT        1.0         0
0x7fa7b927d37b 0 3 17
0x7fa7b927d500 10040 2 13
0x7fa7b927d50d 10040 4 23
0x7fa7b927d524 10040 2 14
0x7fa7b927d532 10040 2 14
0x7fa7b927d540 10040 2 14
0x7fa7b927d54e 10040 14 96
0x7fa7b927d660 10040 9 42
0x7fa7b927d5ae 10040 20 172
0x7fa7b927dae3 10040 3 16
0x7fa7b927daf3 0 2 9
0x7fa7b927dafc 0 7 24
0x7fa7b9281165 10040 2 9
0x7fa7b927d805 10040 2 10
0x7fa7b928105d 10040 2 9
0x7fa7b927dc24 0 3 14
0x7fa7b927dc1b 0 2 9
0x7fa7b927dbf8 10040 7 35
0x7fa7b927da05 10040 2 14
0x7fa7b927da13 10040 7 37
0x7fa7b927da38 10040 4 21
0x7fa7b927da4d 10040 7 29
0x7fa7b927da6a 10040 7 39
0x7fa7b927da91 10040 5 19
0x7fa7b927daa4 10040 4 17
0x7fa7b9281066 0 8 40
0x7fa7b927d80f 10040 2 14
0x7fa7b927d81d 0 2 12
0x7fa7b927dbdb 9072 2 9
0x7fa7b927dbbc 10040 5 31
0x7fa7b927d373 10040 2 8
0x7fa7b927d37b 0 3 17
0x7fa7b927d38c 0 3 14
0x7fa7b927d38c 10040 3 14
0x7fa7b927d39a 10040 9 21
0x7fa7b927d44e 10040 8 15
0x7fa7b9280f8b 10040 2 13
0x7fa7b927dd45 10040 6 26
0x7fa7b927dd38 10040 2 13
0x7fa7b927dcdb 0 7 33
0x7fa7b927dccf 10040 3 12
0x7fa7b927dc67 0 2 9
0x7fa7b927dc5e 9072 2 9
0x7fa7b927dc54 10040 2 10
0x7fa7b927dd5f 10040 2 9
0x7fa7b9280fa6 0 4 16
0x7fa7b9280f98 0 3 14
0x7fa7b9280bc6 10040 2 14
0x7fa7b9280b44 0 4 16
0x7fa7b927dd68 10040 7 27
0x7fa7b9280b36 0 3 14
0x7fa7b9280b29 10040 2 13
0x7fa7b927dc32 0 5 27
0x7fa7b927dc24 0 3 14
0x7fa7b9280bac 10040 5 26
0x7fa7b927dd83 0 3 19
0x7fa7b927dc1b 10040 2 9
0x7fa7b928115d 10040 2 8
0x7fa7b9280bd4 9072 2 13
0x7fa7b927d37b 0 3 17
0x7fa7b927d360 40 3 19
0x7fa7b927db82 10040 11 58
0x7fa7b927d373 0 2 8
0x7fa7b928241d 10040 2 9
0x7fa7b928245d 10040 5 19
0x7fa7b9282358 10040 15 105
0x7fa7b928249d 0 1 2
0x7fa7b9282490 10040 3 13
0x7fa7b928234e 0 16 115
0x7fa7b9282330 10040 9 30
0x7fa7b928241b 0 1 2
0x7fa7b9282411 0 2 10
0x7fa7b9282403 10040 3 14
0x7fa7b92823ed 10040 4 22
0x7fa7b92823d4 10040 6 25
0x7fa7b92823c1 10040 4 19
0x7fa7b9282426 10040 9 39
0x7fa7b928244d 10040 4 16
0x7fa7b9282470 0 2 5
0x7fa7b9282475 0 7 17
0x7fa7b92824a0 10040 3 13
0x7fa7b92824ad 10040 3 17
0x7fa7b92824be 0 2 9
0x7fa7b92824c9 10040 2 8
0x7fa7b92824d1 10040 2 5
0x7fa7b92824d6 0 6 27
0x7fa7b9282475 10040 7 17
0x7fa7b9287520 1 7 31
0x7fa7b9287576 10040 8 49
0x7fa7b928753f 0 16 104
0x7fa7b92875a7 10040 2 8
0x7fa7b9287520 10039 7 31
0x7fa7b928753f 0 16 104
0x7fa7b92a10b3 0 2 11
0x7fa7b92a10f4 161 2 8
0x7fa7b92a114d 161 4 13
0x7fa7b92a1180 161 3 17
0x7fa7b92a10fc 161 3 14
0x7fa7b92a110a 0 3 11
0x7fa7b92a10ca 161 7 33
0x7fa7b92a10a5 161 3 14
0x7fa7b92a108f 1 4 22
0x7fa7b92a1080 1 5 15
0x7fa7b92a1060 1 11 32
0x7fa7b92a108f 160 4 22
0x7fa7b92a1080 160 5 15
0x7fa7b92a1060 160 11 32
0x7fa7b92a1191 0 2 6
0x7fa7b92a1197 0 1 2
0x7fa7b92a1199 161 2 5
0x7fa7b92a119e 161 1 5
0x7fa7b92a1110 161 2 5
0x7fa7b92a1115 0 2 5
0x7fa7b92a111a 0 9 19
0x7fa7b92a1170 161 7 14
0x7fa7b92a10be 0 1 2
0x7fa7b92a10c0 161 2 10
0x7fa7b92a113a 161 5 19
0x7fa7b92a10eb 161 2 5
0x7fa7b92a2610 1 15 58
0x7fa7b92a2688 1 3 17
0x7fa7b92a2606 1 2 10
0x7fa7b92a25eb 1 3 14
0x7fa7b92a25d5 1 4 22
0x7fa7b92a25c0 1 9 21
0x7fa7b92a264a 1 3 10
0x7fa7b92a2654 1 3 12
0x7fa7b92a2660 1 5 19
0x7fa7b92a2673 1 2 8
0x7fa7b92a267b 1 3 13
0x7fa7b92a26a0 1 2 4
0x7fa7b92a26a4 1 4 5
0x7fa7b92a3b70 10004 7 23
0x7fa7b92a3b87 10004 4 26
0x7fa7b92a3c02 10005 3 13
0x7fa7b92a3ba1 10004 3 14
0x7fa7b92a3bfa 10005 2 8
0x7fa7b92a3c2b 10005 3 4
0x7fa7b92a3c27 10005 2 4
0x7fa7b92a3c35 10005 2 9
0x7fa7b92a3beb 0 6 23
0x7fa7b92a3bc4 10005 8 39
0x7fa7b92a3c3e 10005 2 4
0x7fa7b92a3bbb 10005 2 9
0x7fa7b92a3ba1 1 3 14
0x7fa7b92a3b87 1 4 26
0x7fa7b92a3b70 1 7 23
0x7fa7b92a3c0f 10005 3 17
0x7fa7b92a7b2d 1800 3 17
0x7fa7b92a7ab0 1 4 22
0x7fa7b92a7b18 1800 2 8
0x7fa7b92a7b20 1800 3 13
0x7fa7b92a7ab0 1799 4 22
0x7fa7b92a7b45 1800 2 4
0x7fa7b92a7b49 1800 3 4
0x7fa7b92a7aa0 1799 6 16
0x7fa7b92a7ac6 1799 3 14
0x7fa7b92a7ac6 1 3 14
0x7fa7b92a7aa0 1 6 16
0x7fa7b92a7ae0 1800 2 9
0x7fa7b92a7ae9 1800 7 32
0x7fa7b92a7b59 1800 2 4
0x7fa7b92a7b09 0 6 23
0x7fa7b92a7b4d 1800 3 12
0x7fa7b92a8700 1 2 10
0x7fa7b92aa01f 2 3 10
0x7fa7b92a9ff1 0 3 10
0x7fa7b92a9fe0 2 6 17
0x7fa7b92a9ffb 0 6 27
0x7fa7b92aa029 2 4 15
0x7fa7b92aa0b9 2 2 5
0x7fa7b92aa0b0 2 3 9
0x7fa7b92aa0be 2 10 33
0x7fa7b92aa173 22006 4 15
0x7fa7b92aa160 22006 5 19
0x7fa7b92aa182 22006 9 34
0x7fa7b92aa1a4 0 7 16
0x7fa7b92aa218 22006 2 8
0x7fa7b92aa220 0 1 2
0x7fa7b92aa1a8 22006 6 12
0x7fa7b92aa1c5 0 4 21
0x7fa7b92aa1b8 22006 4 13
0x7fa7b92aa155 0 6 30
0x7fa7b92aa140 22006 8 21
0x7fa7b92aaab3 22006 2 5
0x7fa7b92aaab8 0 6 24
0x7fa7b92aaa70 22006 9 21
0x7fa7b92aaa85 22006 3 8
0x7fa7b92aaa9b 22006 5 19
0x7fa7b92aaadb 22006 6 11
0x7fa7b92aaad0 0 8 22
0x7fa7b92aaac3 22006 3 13
0x7fa7b92aaaae 22006 1 5
0x7fa7b92aaaf0 22006 3 8
0x7fa7b92aaaae 0 1 5
0x7fa7b92aaa9b 0 5 19
0x7fa7b92aaa90 22006 4 11
0x7fa7b92aaad0 0 8 22
0x7fa7b92ab0c6 10201 3 12
0x7fa7b92aafc0 10201 5 15
0x7fa7b92aaf6a 10201 4 13
0x7fa7b92aaf52 10201 6 24
0x7fa7b92aaf40 10201 9 18
0x7fa7b92aafb0 10201 8 15
0x7fa7b92ab013 0 4 15
0x7fa7b92ab00e 10201 2 5
0x7fa7b92ab0d2 0 1 5
0x7fa7b92ab0b8 10201 4 14
0x7fa7b92ab013 0 4 15
0x7fa7b92ab00e 0 2 5
0x7fa7b92ab002 10201 3 12
0x7fa7b92aaffa 0 6 20
0x7fa7b92aafea 10201 5 16
0x7fa7b92aafe1 10201 2 9
0x7fa7b92aafcf 10201 4 18
0x7fa7b92ab8e0 11805 1 5
0x7fa7b92ab8db 10201 2 2
0x7fa7b92ab8d0 22006 5 11
0x7fa7b92ab8e5 11805 6 13
0x7fa7b92abb62 10201 3 7
0x7fa7b92abb50 10201 7 18
0x7fa7b92abb50 11805 7 18
0x7fa7b92abb62 11805 3 7
0x7fa7b92abb69 11804 2 11
0x7fa7b92abbb8 1 2 11
0x7fa7b92abbc3 1 3 13
0x7fa7b92abbd0 1 3 13
0x7fa7b92abbdd 1 12 45
0x7fa7b92abc0a 1 2 12
0x7fa7b92abc16 1 2 9
0x7fa7b92abb78 1 2 9
